unit_id,facility_code,equipment_type,manufacturer,model,year_installed,capacity_m3_hr,last_major_overhaul,running_hours_total,running_hours_since_overhaul,next_scheduled_maintenance,condition_score,bowl_radius_m
HAM-DEC-001,HAM,Decanter Centrifuge,Flottweg,Z5E-4/441,2016,38.0,2022-08-14,44000,9400,2026-08-14,7.4,0.385
HAM-DEC-002,HAM,Decanter Centrifuge,Andritz,D5L-H,2020,42.0,2024-01-20,21000,5100,2027-01-20,8.8,0.415
HAM-GRV-001,HAM,Gravity Separator,GEA Westfalia,GS 310,2014,70.0,2021-04-30,56000,12100,2026-10-30,6.5,
HAM-GRV-002,HAM,Gravity Separator,Andritz,AGS 500,2019,75.0,2023-05-20,27000,6200,2026-11-20,8.3,
HAM-PLS-001,HAM,Plate Separator,Flottweg,SCD 460,2017,18.0,2022-12-10,36000,8400,2026-12-10,7.7,
HAM-DAF-001,HAM,DAF Unit,Alfa Laval,ALDAF 500,2018,60.0,2023-04-05,29000,6900,2026-10-05,8.0,
HAM-HTG-001,HAM,Heating Unit,GEA Westfalia,HEX 200,2015,90.0,2021-11-20,50000,10800,2026-11-20,7.0,
HAM-HTG-002,HAM,Heating Unit,Flottweg,FHU 300,2021,95.0,2024-03-10,16000,4600,2027-03-10,9.0,
HAM-DEC-003,HAM,Decanter Centrifuge,GEA Westfalia,CA 365-1,2017,36.0,2022-07-18,38000,8700,2026-07-18,7.6,0.375
HAM-DSC-003,HAM,3-Phase Disc Stack Centrifuge,Pieralisi,LEOPARD 5,2022,26.0,2024-05-22,12000,3800,2027-05-22,9.2,0.315
GIB-DSC-001,GIB,3-Phase Disc Stack Centrifuge,Alfa Laval,AFPX 510,2017,20.0,2022-09-16,36000,8000,2026-09-16,7.8,0.285
GIB-DSC-002,GIB,3-Phase Disc Stack Centrifuge,GEA Westfalia,UCD 305,2020,22.0,2023-11-28,22000,5400,2026-11-28,8.6,0.295
GIB-DEC-001,GIB,Decanter Centrifuge,Andritz,D4L-H,2016,32.0,2022-06-04,40000,8900,2026-06-04,7.3,0.360
GIB-GRV-001,GIB,Gravity Separator,Alfa Laval,AlfaVap 800,2015,50.0,2021-12-19,46000,10600,2026-12-19,6.9,
GIB-PLS-001,GIB,Plate Separator,Andritz,APL 450,2019,16.0,2023-08-07,25000,5900,2026-08-07,8.2,
GIB-DAF-001,GIB,DAF Unit,Pieralisi,PDAF 300,2018,45.0,2023-01-15,28000,6400,2026-07-15,8.0,
GIB-HTG-001,GIB,Heating Unit,Alfa Laval,AQUA 500,2016,80.0,2022-10-22,38000,8200,2026-10-22,7.5,
GIB-DEC-002,GIB,Decanter Centrifuge,Flottweg,Z4E-4/441,2021,34.0,2024-02-14,15000,4500,2027-02-14,9.0,0.365
MLT-DSC-001,MLT,3-Phase Disc Stack Centrifuge,Alfa Laval,AFPX 510,2018,18.0,2023-05-12,28000,6200,2026-11-12,8.1,0.280
MLT-DEC-001,MLT,Decanter Centrifuge,Andritz,D4L-H,2017,28.0,2022-09-30,34000,8100,2026-09-30,7.5,0.350
MLT-GRV-001,MLT,Gravity Separator,GEA Westfalia,GS 310,2016,45.0,2022-04-14,38000,8600,2026-10-14,7.2,
MLT-PLS-001,MLT,Plate Separator,Pieralisi,PPL 350,2020,14.0,2023-10-05,20000,5200,2026-10-05,8.7,
MLT-HTG-001,MLT,Heating Unit,Pieralisi,PHU 400,2019,70.0,2023-06-28,24000,5800,2026-12-28,8.4,
